ref,title,author,lastRunTime,totalVotes
rhtsingh/utilizing-transformer-representations-efficiently,Utilizing Transformer Representations Efficiently,torch,2022-10-16 19:14:31.733000,1228
andretugan/commonlit-two-models,commonlit-two-models,Andrey Tuganov,2021-06-30 20:58:26.367000,882
ruchi798/commonlit-readability-prize-eda-baseline,CommonLit Readability Prize: EDA + Baseline,Ruchi Bhatia,2021-05-11 19:12:19.327000,763
rhtsingh/commonlit-readability-prize-roberta-torch-itpt,CommonLit Readability Prize - RoBERTa Torch|ITPT,torch,2021-05-21 19:31:44.137000,724
rhtsingh/commonlit-readability-prize-roberta-torch-infer-3,CommonLit Readability Prize-RoBERTa Torch|Infer 3,torch,2021-06-01 20:05:26.150000,625
rhtsingh/commonlit-readability-prize-roberta-torch-fit,CommonLit Readability Prize - RoBERTa Torch|FIT,torch,2021-07-01 08:03:58.863000,622
andretugan/pre-trained-roberta-solution-in-pytorch,Pre-trained Roberta solution in PyTorch,Andrey Tuganov,2021-06-30 01:06:31.250000,578
rhtsingh/commonlit-readability-prize-roberta-torch-infer,CommonLit Readability Prize - RoBERTa Torch|Infer ,torch,2021-05-28 20:38:08.930000,507
maunish/clrp-roberta-svm,CLRP: RoBerta  + SVM,Maunish dave,2021-06-30 07:48:21.750000,501
mdfahimreshm/bert-in-depth-understanding,BERT - In Depth Understanding,Md Fahim,2021-05-13 08:25:29.320000,485
rhtsingh/on-stability-of-few-sample-transformer-fine-tuning,On Stability of Few-Sample Transformer Fine-Tuning,torch,2021-07-01 07:56:58.343000,459
rajat95gupta/clrp-ensemble-3x-inference,clrp_ensemble_3x_inference,Rajat Gupta,2021-07-25 14:10:39.910000,455
maunish/clrp-pytorch-roberta-pretrain,CLRP: Pytorch Roberta Pretrain,Maunish dave,2021-06-29 07:18:43.567000,436
rhtsingh/speeding-up-transformer-w-optimization-strategies,Speeding up Transformer w/ Optimization Strategies,torch,2021-07-01 07:51:05.390000,408
pichenguang/commonlit-two-models-with-new-model,commonlit-two-models（with new model),pichenguang,2021-07-25 12:20:01.697000,385
jcesquiveld/roberta-large-5-fold-single-model-meanpooling,RoBERTa-large 5-fold single model (MeanPooling),jcesquivel,2021-07-27 17:51:05.550000,374
dimitreoliveira/commonlit-readability-eda-roberta-tf-baseline,CommonLit Readability - EDA & RoBERTa TF baseline,DimitreOliveira,2021-05-13 02:01:15.623000,374
lhagiimn/clrp-ensemble-public-notebooks,CLRP: Ensemble Public Notebooks,lhagiimn,2021-06-09 10:28:09.733000,346
chumajin/pytorch-bert-beginner-s-room-version,Pytorch BERT beginner's room【日本語version】,chumajin,2021-05-17 20:43:21.333000,329
mobassir/commonlit-readability-tensorflow-torch-ensemble,Commonlit_Readability-tensorflow+torch ensemble,Mobassir,2021-06-21 06:01:40.043000,292
rhtsingh/two-roberta-s-are-better-than-one-0-469,Two RoBERTa's are Better than One [0.469],torch,2021-05-29 04:43:23.743000,288
maunish/clrp-pytorch-roberta-finetune,CLRP:  Pytorch Roberta Finetune,Maunish dave,2021-06-29 10:23:31.347000,282
rhtsingh/commonlit-readability-prize-roberta-torch-infer-2,CommonLit Readability Prize-RoBERTa Torch|Infer 2,torch,2021-05-26 22:00:20.653000,276
chumajin/pytorch-bert-beginner-s-room,Pytorch BERT beginner's room,chumajin,2021-06-05 13:16:19.760000,268
jeongyoonlee/tf-keras-bert-baseline-training-inference,TF/Keras BERT Baseline (Training/Inference),jeong,2021-05-09 04:22:03.667000,263
rhtsingh/swa-apex-amp-interpreting-transformers-in-torch,"SWA, Apex AMP & Interpreting Transformers in Torch",torch,2021-07-01 05:53:54.807000,252
chamecall/clrp-inference,CLRP-Inference,algernone,2021-08-01 13:30:06.870000,241
heyytanay/training-kfolds-pytorch-bert-large-w-o-oom,[TRAINING & KFOLDS] PyTorch BERT-Large w/o OOM🎯,Tanay Mehta,2021-06-24 02:51:33.730000,234
abhishek/step-1-create-folds,Step 1: Create Folds,Abhishek Thakur,2021-05-05 09:33:04.063000,228
rhtsingh/guide-to-huggingface-schedulers-differential-lrs,Guide to HuggingFace Schedulers & Differential LRs,torch,2021-07-01 07:58:32.777000,221
datafan07/eda-simple-bayesian-ridge-with-sentence-embeddings,EDA+Simple Bayesian Ridge with Sentence Embeddings,Ertuğrul Demir,2021-05-11 03:22:09.363000,219
andretugan/lightweight-roberta-solution-in-pytorch,Lightweight Roberta solution in PyTorch,Andrey Tuganov,2021-06-29 17:24:28.197000,209
abhishek/fork-of-fork-of-yum-yum-yum-93f968,Fork of Fork of yum yum yum 93f968,Abhishek Thakur,2021-05-08 07:34:38.767000,207
abhishek/yum-yum-yum,yum yum yum,Abhishek Thakur,2021-05-06 10:24:59.373000,204
hannes82/commonlit-readability-roberta-inference,CommonLit readability: RoBerta inference,Hannes Öhler,2021-05-04 01:54:47.897000,201
chamecall/clrp-finetune-single-roberta-base,CLRP-Finetune (single RoBerta-base),algernone,2021-07-24 06:59:03.520000,200
andradaolteanu/i-commonlit-explore-xgbrf-repeatedfold-model,📖 I.CommonLit: Explore + XGBRF&RepeatedFold Model,Andrada,2021-06-07 15:46:10.510000,190
ravishah1/readability-feature-engineering-non-nn-baseline,Readability Feature Engineering + Non NN Baseline,Ravi Shah,2021-05-13 23:12:34.847000,187
leighplt/transformers-cv-train-inference-pytorch,transformers [cv-train inference] | Pytorch ,Leigh,2021-05-31 13:06:03.920000,166
maunish/clrp-pytorch-roberta-inference,CLRP: Pytorch Roberta Inference,Maunish dave,2021-07-04 05:24:10.020000,161
rajat95gupta/clrp-mean-pooling-inference,clrp_mean_pooling_inference,Rajat Gupta,2021-07-25 08:54:10.357000,159
hannes82/commonlit-readability-roberta-simple-baseline,CommonLit Readability: RoBerta simple baseline  ,Hannes Öhler,2021-05-21 14:17:43.027000,153
donmarch14/commonlit-detailed-guide-to-learn-nlp,CommonLit: Detailed Guide to Learn NLP,Don Mani,2021-06-09 07:04:46.683000,150
sumantindurkhya/bert-for-regression,Bert for regression,Sumant Indurkhya,2021-06-20 05:59:22.517000,148
ragnar123/commonlit-readability-roberta-tf,CommonLit Readability Roberta TF ,Martin Kovacevic Buvinic,2021-05-10 20:21:21.547000,147
jcesquiveld/best-transformer-representations,best transformer representations,jcesquivel,2021-07-07 18:25:11.173000,139
ragnar123/commonlit-readability-roberta-tf-inference,CommonLit Readability Roberta TF Inference,Martin Kovacevic Buvinic,2021-05-10 21:47:08.773000,138
asvskartheek/bert-tpus-jax-huggingface,BERT + TPUs + JAX + HuggingFace,Kartheek Akella,2021-06-29 02:10:05.377000,133
andreshg/commonlit-a-complete-analysis,[CommonLit] 📘 A Complete Analysis 📒,AndresHG,2021-05-24 09:40:59.767000,132
maunish/clrp-pytorch-roberta-finetune-tpu,CLRP:  Pytorch Roberta Finetune [TPU],Maunish dave,2021-06-30 16:45:15.543000,129
