ref,title,author,lastRunTime,totalVotes
pmarcelino/comprehensive-data-exploration-with-python,Comprehensive data exploration with Python,"Pedro Marcelino, PhD",2022-04-30 19:20:37.243000,33034
serigne/stacked-regressions-top-4-on-leaderboard,Stacked Regressions : Top 4% on LeaderBoard,Serigne ,2017-12-16 11:57:12.653000,14188
alexisbcook/exercise-intro-to-automl,Exercise: Intro to AutoML,Alexis Cook,2023-04-21 13:39:02.977000,13767
gusthema/house-prices-prediction-using-tfdf,House Prices Prediction using TFDF,Gusthema,2023-04-17 09:36:22.370000,12706
dansbecker/handling-missing-values,Handling Missing Values,DanB,2019-02-26 02:31:25.783000,7866
rtatman/welcome-to-data-science-in-r-workbook,Welcome to Data Science in R: Workbook,Rachael Tatman,2018-04-30 19:07:24.123000,7800
ryanholbrook/feature-engineering-for-house-prices,Feature Engineering for House Prices,Ryan Holbrook,2023-09-05 22:43:07.020000,6008
apapiu/regularized-linear-models,Regularized Linear Models,Alexandru Papiu,2023-01-07 02:41:56.397000,5454
dansbecker/submitting-from-a-kernel,Submitting From A Kernel,DanB,2018-01-22 19:25:43.633000,3869
dansbecker/selecting-and-filtering-in-pandas,Selecting and Filtering in Pandas,DanB,2018-01-29 04:38:58.450000,3752
dansbecker/xgboost,XGBoost,DanB,2018-07-25 21:52:04.780000,3662
erikbruin/house-prices-lasso-xgboost-and-a-detailed-eda,"House prices: Lasso, XGBoost, and a detailed EDA",Erik Bruin,2018-05-10 06:33:09.887000,3541
dansbecker/using-categorical-data-with-one-hot-encoding,Using Categorical Data with One Hot Encoding,DanB,2018-01-22 00:36:58.630000,3453
agileteam/py-t1-4-expected-questions,[py] T1-4. 왜도와 첨도 구하기 (로그스케일) Expected Questions,Kim Tae Heon,2021-10-21 00:27:46.410000,3377
pavansanagapati/knowledge-graph-nlp-tutorial-bert-spacy-nltk,"Knowledge Graph & NLP Tutorial-(BERT,spaCy,NLTK)",Pavan Sanagapati,2020-09-08 14:40:39.107000,2799
juliencs/a-study-on-regression-applied-to-the-ames-dataset,A study on Regression applied to the Ames dataset,juliencs,2021-03-18 15:16:37.233000,2663
jesucristo/1-house-prices-solution-top-1,#1 House Prices Solution [top 1%],Nanashi,2019-09-06 08:36:08.210000,2488
lavanyashukla01/how-i-made-top-0-3-on-a-kaggle-competition,How I made top 0.3% on a Kaggle competition,Lavanya Shukla,2019-06-09 21:10:44.340000,2420
ekami66/detailed-exploratory-data-analysis-with-python,Detailed exploratory data analysis with python,Tuatini GODARD,2017-01-20 02:06:37.353000,2351
faressayah/practical-introduction-to-10-regression-algorithm,Practical Introduction to 10 Regression Algorithm,Fares Sayah,2023-01-30 23:05:17.167000,2251
dansbecker/finding-your-files-in-kaggle-kernels,Finding Your Files in Kaggle Kernels,DanB,2023-03-12 19:36:19.050000,2111
dgawlik/house-prices-eda,House Prices EDA,Dominik Gawlik,2017-02-20 10:51:47.840000,2080
masumrumi/a-detailed-regression-guide-with-house-pricing,A Detailed Regression Guide with House-pricing,Masum Rumi,2021-11-15 21:46:57.397000,1867
nareshbhat/outlier-the-silent-killer,Outlier!!! The Silent Killer,Naresha Bhat,2021-08-30 07:18:27.537000,1805
bsivavenu/house-price-calculation-methods-for-beginners,House Price Calculation  methods for beginners,B Siva Venu,2018-12-01 14:25:57.657000,1719
emrearslan123/house-price-prediction,House Price Prediction 🏡,Emre Arslan,2022-01-07 14:52:07.017000,1645
marsggbo/kaggle,????kaggle????,marsggbo,2017-08-01 03:14:41.033000,1453
akhabash/cheatsheet-70-ggplot-charts,Cheatsheet 70+ ggplot Charts 📊,Health informatician,2020-10-01 19:46:17.263000,1434
prashant111/comprehensive-guide-on-feature-selection,Comprehensive Guide on Feature Selection,Prashant Banerjee,2020-11-18 15:26:57.150000,1227
agileteam/t2-4-house-prices-regression,T2-4. House Prices (Regression),Kim Tae Heon,2022-11-25 02:41:19.150000,1181
neviadomski/how-to-get-to-top-25-with-simple-model-sklearn,How to get to TOP 25% with Simple Model (sklearn),Sergei Neviadomski,2018-01-30 03:20:01.367000,1056
pavansanagapati/ensemble-learning-techniques-tutorial,Ensemble Learning Techniques Tutorial,Pavan Sanagapati,2020-09-06 06:27:21.763000,980
notaapple/detailed-exploratory-data-analysis-using-r,Detailed Exploratory Data Analysis using R ,AiO,2017-01-07 22:25:15.013000,972
dejavu23/house-prices-eda-to-ml-beginner,House Prices: EDA to ML (Beginner),deja vu,2019-06-15 14:34:23.930000,861
kenjee/housing-prices-example-with-video-walkthrough,Housing Prices Example (With Video Walkthrough),Ken Jee,2023-06-21 19:18:30.047000,826
parulpandey/useful-python-libraries-for-data-science,Useful Python libraries for Data Science,Parul Pandey,2020-04-25 06:22:19.080000,785
erick5/predicting-house-prices-with-machine-learning,Predicting House Prices with Machine Learning,Eric Kim,2017-08-19 00:45:17.840000,766
skirmer/fun-with-real-estate-data,Fun with Real Estate Data,Stephanie Kirmer,2016-09-01 20:00:01.707000,752
angqx95/data-science-workflow-top-2-with-tuning,Data Science Workflow TOP 2% (with Tuning),aqx,2021-01-06 05:21:17.597000,749
agodwinp/stacking-house-prices-walkthrough-to-top-5,Stacking House Prices - Walkthrough to Top 5%,Arun Godwin Patel,2018-06-12 20:13:04.400000,746
pavansanagapati/14-simple-tips-to-save-ram-memory-for-1-gb-dataset,14 Simple Tips to save RAM memory for 1+GB dataset,Pavan Sanagapati,2020-09-03 15:48:17.190000,697
massquantity/all-you-need-is-pca-lb-0-11421-top-4,"All You Need is PCA (LB: 0.11421,  top 4%)",massquantity,2018-03-15 14:47:44.077000,669
frtgnn/pycaret-introduction-classification-regression,PyCaret Introduction (Classification & Regression),Firat Gonen,2021-10-14 06:38:09.053000,657
tannercarbonati/detailed-data-analysis-ensemble-modeling,Detailed Data Analysis & Ensemble Modeling,a ghost,2017-07-15 19:36:06.270000,638
zoupet/neural-network-model-for-house-prices-tensorflow,Neural Network Model for House Prices (TensorFlow),Julien Heiduk,2018-05-09 14:10:20.167000,604
humananalog/xgboost-lasso,XGBoost + Lasso,Human Analog,2016-11-02 11:14:04.173000,597
fedi1996/house-prices-data-cleaning-viz-and-modeling,"House Prices : Data cleaning, viz and modeling ",Fedi Ben Messaoud,2021-07-14 10:10:51.610000,594
mgmarques/houses-prices-complete-solution,Houses Prices - Complete Solution,Marcelo Marques,2018-10-17 22:32:17.287000,581
ryannolan1/kaggle-housing-youtube-video,Kaggle Housing YouTube Video,Ryan Nolan,2023-10-29 15:30:08.127000,579
keithfish/kaggle-7-xgbst-enet,给kaggle新手的入门教程(中文完全注释):7种模型集成学习建模方法(xgBst/eNet...),KeithFish,2019-03-05 14:32:22.130000,579
fatmakursun/house-price-some-of-regression-models,House Price(Some of Regression Models),Fatma Kurşun,2020-12-15 11:32:54.217000,575
marto24/beginners-prediction-top3,Beginners_Prediction_Top3%🌃💲,Marto93,2021-01-29 19:12:05.053000,573
spscientist/a-simple-tutorial-on-exploratory-data-analysis,A Simple Tutorial on Exploratory Data Analysis,Jakki Seshapanpu,2018-11-08 13:16:03.360000,527
pavansanagapati/automated-hyperparameter-tuning,Automated Hyperparameter Tuning,Pavan Sanagapati,2020-08-17 11:23:07,521
agehsbarg/top-10-0-10943-stacking-mice-and-brutal-force,"Top 10 (0.10943): stacking, MICE and brutal force",Aleksandrs Gehsbargs,2018-04-18 23:04:34.440000,480
gaetanlopez/how-to-make-clean-visualizations,How to make clean visualizations ,Gaetan L.,2021-04-19 18:38:46.297000,479
desalegngeb/plotly-guide-customize-for-better-visualizations,Plotly guide: Customize for better visualizations,A Legacy Grandmaster!,2022-08-12 09:09:12.233000,471
rtatman/example-submission,Example Submission,Rachael Tatman,2019-07-12 18:51:03.370000,457
shaygu/house-prices-begginer-top-7,House prices Begginer top 7%,Shay Guterman,2019-09-09 05:54:54.587000,449
heyrobin/house-price-prediction-beginner-s-notebook,House Price Prediction 🏡 Beginner's Notebook ,Robin S.,2022-04-05 16:15:13.590000,447
darkside92/detailed-examination-for-house-price-top-10,🏠 Detailed Examination for House Price (Top%10),Tolga Kaplan,2020-06-27 19:18:03.763000,437
shaoyingzhang/data-exploration-and-prediction-of-house-price,Data Exploration and Prediction of House Price ,Shaoyinger,2018-01-31 01:21:45.477000,427
jimthompson/ensemble-model-stacked-model-example,Ensemble Model:  Stacked Model Example,JMT5802,2016-09-07 21:40:00.013000,415
tentotheminus9/linear-regression-from-scratch-gradient-descent,Linear Regression from scratch (Gradient Descent),Rob Harrand,2017-02-17 15:10:01.813000,397
chanakyavivekkapoor/house-price-prediction,House Price Prediction,Chanakya Vivek Kapoor,2021-01-28 06:05:08.290000,393
niteshx2/top-50-beginners-stacking-lgb-xgb,TOP 50 |beginners | Stacking | LGB | XGB ,Nitesh Chaudhry,2019-03-15 18:35:56.183000,393
rajmehra03/a-complete-pandas-tutorial,A Complete Pandas Tutorial,Raj Mehrotra,2022-08-23 14:02:20.787000,365
nkitgupta/feature-engineering-and-feature-selection,Feature Engineering and Feature Selection,Ankit Gupta,2022-04-28 13:34:32.357000,361
surya635/house-price-prediction,House Price Prediction,Suryanand Singh,2018-06-23 04:57:36.057000,360
wouldyoujustfocus/llama3-8b-llm20-questions-lb-750,llama3-8b- LLM20 Questions [LB 750],kaoutar,2024-06-29 13:07:17.110000,351
allunia/house-prices-tutorial-with-catboost,House Prices Tutorial with Catboost,Laura Fink,2020-02-18 11:24:55.540000,350
carlmcbrideellis/an-introduction-to-xgboost-regression,An introduction to XGBoost regression,Carl McBride Ellis,2025-07-01 09:06:35.053000,346
gcdatkin/top-10-house-price-regression-competition-nb,🏠 [TOP 10%] House Price Regression Competition NB,Gabriel Atkin,2021-04-27 18:43:06.300000,326
satishgunjal/tutorial-k-fold-cross-validation,Tutorial: K Fold Cross Validation,Satish Gunjal,2020-12-06 06:52:48,325
kareem3egm/learn-machine-learning-faster-1,Learn machine learning faster 1 ,Karim Negm,2021-04-01 15:23:44.193000,321
vjgupta/reach-top-10-with-simple-model-on-housing-prices,Reach Top 10% With Simple Model On Housing Prices.,Vijay Gupta,2018-08-28 05:21:04.720000,320
poonaml/house-prices-data-exploration-and-visualisation,House Prices - Data Exploration and Visualisation,Poonam Ligade,2018-02-10 16:13:06.037000,315
timolee/a-home-for-pandas-and-sklearn-beginner-how-tos,A Home for Pandas and Sklearn: Beginner How-Tos,TimLee,2017-12-10 19:08:21.550000,311
miguelangelnieto/pca-and-regression,PCA and Regression,Miguel Angel,2017-02-20 14:58:38.947000,301
janiobachmann/house-prices-useful-regression-techniques,House Prices ||  Useful Regression Techniques ,Janio Martinez Bachmann,2020-11-26 14:45:04.040000,300
frtgnn/ml-101-beginner-s-stop-xgb-lgbm-blend,ML 101 Beginner's Stop XGB & LGBM & Blend,Firat Gonen,2023-03-01 11:15:48.473000,292
ohseokkim/house-price-all-about-house-price,[House Price] All about House Price!,OH SEOK KIM,2022-01-11 14:11:31.367000,284
