ref,title,author,lastRunTime,totalVotes
phalanx/train-swin-t-pytorch-lightning,train Swin_T[pytorch lightning],phalanx,2021-09-30 04:07:10.737000,1066
cdeotte/rapids-svr-boost-17-8,RAPIDS SVR Boost - [17.8],Chris Deotte,2021-10-05 22:06:51.327000,856
warotjanpinitrat/lovely-doggo-with-bonky-fastai-timm,Lovely Doggo with Bonky (fastai & timm),New DS,2022-01-07 23:04:30.333000,741
abhishek/tez-pawpular-swin-ference,tez: pawpular swin-ference,Abhishek Thakur,2021-10-02 11:37:32.937000,558
tanlikesmath/petfinder-pawpularity-eda-fastai-starter,Petfinder Pawpularity EDA & fastai starter 🐱🐶,ilovescience,2021-12-19 01:26:22.887000,523
stefanojp/clean-petfinder-fastai-kf-10-mixup-the-best,Clean Petfinder& fastai KF 10 Mixup - The best,Stefano,2021-11-28 12:33:34.467000,488
bobber/petfinder-fastai-with-dataaugmentation-kfold-10,Petfinder& fastai with DataAugmentation KFold 10,Bobber Cheng,2021-11-10 01:25:15.433000,437
abhishek/tez-pawpular-training,tez: pawpular training,Abhishek Thakur,2021-09-23 15:47:18.107000,433
debarshichanda/pytorch-hybrid-swin-transformer-cnn,[Pytorch] Hybrid Swin Transformer + CNN,Debarshi Chanda,2021-10-18 14:50:31.510000,385
alexteboul/tutorial-part-1-eda-for-beginners,Tutorial Part 1: EDA for Beginners,Alex Teboul,2022-03-10 02:06:08.667000,368
keagle/petfindder-updated-rules,Petfindder updated rules,Krish Yadav,2021-11-18 03:46:17.553000,354
ishandutta/petfinder-data-augmentations-master-notebook,PetFinder: Data Augmentations Master Notebook,Ishan Dutta,2021-11-01 13:01:12.940000,327
adityasharma01/fork-of-17-90508-notebook,Fork of 17.90508 notebook,Aditya Sharma,2021-12-08 16:30:51.993000,322
adityasharma01/rapids-svr-boost-17-97,RAPIDS SVR Boost - [17.97],Aditya Sharma,2021-10-31 07:53:31.287000,304
manabendrarout/transformers-classifier-method-starter-train,Transformers + Classifier Method Starter [Train],Manav,2021-10-03 18:38:49.033000,301
abhishek/tez-pawpular-inference,tez: pawpular inference,Abhishek Thakur,2021-09-25 12:34:05.013000,299
manyuli/rapids-svr-boost-17-8-pro,RAPIDS SVR Boost - [17.8] - PRO,Manyu Li,2021-10-29 08:31:57.040000,274
yasufuminakama/petfinder-efficientnet-b0-starter-training,PetFinder / efficientnet_b0 starter [training],Y.Nakama,2021-09-28 19:38:00.837000,274
rsmits/effnet-b2-feature-models-catboost,EffNet B2 - Feature Models - CatBoost,Robin Smits,2021-10-19 10:04:14.603000,263
manabendrarout/transformers-classifier-method-starter-infer,Transformers + Classifier Method Starter [Infer],Manav,2021-10-26 11:42:37.420000,238
ipythonx/tf-hybrid-efficientnet-swin-transformer-gradcam,TF: Hybrid EfficientNet Swin-Transformer : GradCAM,Innat,2022-10-09 11:11:20.887000,236
titericz/imagenet-embeddings-rapids-svr-finetuned-models,Imagenet embeddings+RAPIDS SVR+Finetuned models,Giba,2022-01-24 03:42:32.917000,216
usharengaraju/tensorflow-probability-ngboost-w-b,🔥TensorFlow Probability😺🐶+NGBoost+W&B,Tensor Girl,2021-10-12 23:29:41.417000,207
yasufuminakama/petfinder-efficientnet-b0-lgb-inference,PetFinder / efficientnet_b0 + LGB [inference],Y.Nakama,2021-09-25 02:57:03.437000,207
titericz/openai-clip-example,OpenAi - CLIP Example,Giba,2022-01-16 22:41:19.673000,200
awsaf49/tf-petfinder-vit-cls-tpu-train,[TF] PetFinder: ViT+Cls [TPU][Train] 😺,Awsaf,2021-10-04 15:58:46.267000,172
tanmay111999/image-classification-vgg16-ml-algorithms,Image Classification : VGG16 + ML Algorithms,Tanmay Deshpande,2022-10-25 08:21:41.917000,169
ytakayama/train-pytorch-swin-5fold-some-tips,[train]Pytorch Swin+5Fold+some tips,y.takayama,2022-01-03 23:20:54.123000,166
markwijkhuizen/petfinder-eda-yolov5-obj-detection-tfrecords,PetFinder EDA + YOLOV5 Obj Detection + TFRecords,Mark Wijkhuizen,2021-10-16 08:20:10.350000,163
ytakayama/inference-pytorch-swin-5fold-notta,[inference]Pytorch Swin+5Fold+noTTA,y.takayama,2022-01-03 09:41:49.610000,160
subinium/petfinder-i-am-featurefinder-eda-notebook,[PetFinder] I am FeatureFinder (EDA notebook),Subin An,2021-11-06 23:54:12.167000,157
reighns/tutorial-pytorch-saving-and-loading-inference,[Tutorial] PyTorch Saving and Loading + Inference,gao-hongnan,2022-01-11 04:22:06.063000,154
alexteboul/tutorial-part-3-cnn-image-modeling-1,Tutorial Part 3: CNN Image Modeling 1,Alex Teboul,2022-03-10 02:28:10.023000,153
yasufuminakama/petfinder-efficientnet-b0-lgb-training,PetFinder / efficientnet_b0 + LGB [training],Y.Nakama,2021-09-25 02:38:51.820000,144
ipythonx/tf-keras-hybrid-efficientnet-swin-transformer-tpu,TF.Keras: Hybrid EfficientNet Swin Transformer TPU,Innat,2022-06-02 22:19:29.977000,141
abhishek/same-old-creating-folds,same old creating folds,Abhishek Thakur,2021-09-23 14:39:03.443000,141
devkhant24/pretrained-model-efficientnet,Pretrained Model [EfficientNet],Dev Khant,2021-11-21 11:48:09.770000,137
tenffe/petfindder-with-5-fold-img-size-384,Petfindder with 5 fold [img_size = 384],zhangxin,2021-12-18 06:29:11.653000,134
alexteboul/tutorial-part-2-model-building-using-the-metadata,Tutorial Part 2: Model Building using the Metadata,Alex Teboul,2022-03-10 02:28:50.717000,131
ipythonx/tf-keras-learning-to-resize-image-for-vit-model,[TF.Keras]: Learning to Resize Image for ViT Model,Innat,2022-01-03 11:47:09.823000,130
titericz/imagenet-embeddings-plus-rapids-svr,Imagenet embeddings plus RAPIDS SVR,Giba,2022-01-18 15:31:16.600000,120
chumajin/petfinder-eda-lgbm-for-starter-version,【PetFinder】EDA & LGBM for starter(日本語version),chumajin,2021-10-05 17:13:25.990000,120
tanmay111999/submission-file-transfer-learning-pickle-files,Submission File : Transfer Learning | Pickle Files,Tanmay Deshpande,2021-10-17 07:39:19.167000,120
ekaterinadranitsyna/pretrained-feature-model-keras,Pretrained Feature Model (Keras),Ekaterina Dranitsyna,2021-10-14 13:35:53.030000,116
