ref,title,author,lastRunTime,totalVotes
sudalairajkumar/a-look-at-different-embeddings,A look at different embeddings.!,SRK,2018-11-08 09:37:34.117000,2054
christofhenkel/how-to-preprocessing-when-using-embeddings,How to: Preprocessing when using embeddings,Dieter,2018-11-13 15:44:28.107000,1839
shujian/single-rnn-with-4-folds-clr,Single RNN with 4 folds (CLR),Shujian Liu,2018-11-25 01:20:34.507000,1163
rajmehra03/a-detailed-explanation-of-keras-embedding-layer,A Detailed Explanation of Keras Embedding Layer,Raj Mehrotra,2019-01-06 07:02:19.200000,1152
sudalairajkumar/simple-exploration-notebook-qiqc,Simple Exploration Notebook - QIQC,SRK,2018-11-07 10:09:20.963000,977
jannen/reaching-0-7-fork-from-bilstm-attention-kfold,Reaching 0.7 - Fork_from_BiLSTM-attention-Kfold-,Jannen,2019-01-19 09:07:56.580000,951
gmhost/gru-capsule,GRU+Capsule,kwang,2018-12-13 11:34:09.077000,886
hung96ad/pytorch-starter,PyTorch starter,Hung The Nguyen,2018-12-30 10:05:58.617000,865
artgor/text-modelling-in-pytorch,Text modelling in Pytorch,Andrew Lukyanenko,2019-01-26 02:41:06.883000,852
theoviel/improve-your-score-with-some-text-preprocessing,Improve your Score with some Text Preprocessing,Theo Viel,2018-12-03 14:18:15.573000,795
wowfattie/3rd-place,3rd place,Guanshuo Xu,2019-02-05 11:23:29.547000,677
mihaskalic/lstm-is-all-you-need-well-maybe-embeddings-also,"LSTM is all you need! well, maybe embeddings also.",Miha Skalic,2018-11-06 21:57:02.337000,614
shujian/different-embeddings-with-attention-fork-fork,Different embeddings with Attention! [Fork][Fork],Shujian Liu,2018-11-13 03:35:15.680000,556
hung96ad/magic-numbers-is-all-you-need-0-696-lb,Magic numbers is all you need [0.696 LB],Hung The Nguyen,2018-12-15 16:31:54.523000,442
artgor/eda-and-lstm-cnn,EDA and LSTM-CNN,Andrew Lukyanenko,2019-01-30 13:32:26.667000,427
spirosrap/bilstm-attention-kfold-clr-extra-features-capsule,BiLSTM-attention-Kfold-CLR-Extra Features-capsule,Spiros,2018-12-24 22:49:52.680000,425
ashishpatel26/nlp-text-analytics-solution-quora,NLP text analytics Solution Quora,NowYSM,2019-01-20 04:05:26.673000,380
garydf/fork-from-bilstm-attention-kfold-0115,Fork_from_BiLSTM-attention-Kfold-0115,Gary DF,2019-01-15 06:24:03.330000,372
bminixhofer/deterministic-neural-networks-using-pytorch,Deterministic neural networks using PyTorch,Benjamin Minixhofer,2019-02-09 09:20:22.657000,361
thebrownviking20/analyzing-quora-for-the-insinceres,Analyzing Quora for the Insinceres,Siddharth Yadav,2018-12-03 17:13:10.580000,350
shujian/mix-of-nn-models-based-on-meta-embedding,Mix of NN models based on Meta-embedding,Shujian Liu,2018-11-16 13:06:01.383000,341
suicaokhoailang/blending-with-linear-regression-0-688-lb,Blending with Linear Regression [0.688 LB],Khoi Nguyen,2018-11-18 09:58:07.550000,328
sergeykalutsky/introducing-bert-with-tensorflow,Introducing BERT with Tensorflow,Sergey Kalutsky,2018-11-13 14:57:10.597000,324
suicaokhoailang/beating-the-baseline-with-one-weird-trick-0-691,Beating the baseline with ONE WEIRD TRICK! [0.691],Khoi Nguyen,2018-11-21 09:12:30.013000,282
theoviel/improve-your-score-with-text-preprocessing-v2, Improve your Score with Text Preprocessing  -- V2,Theo Viel,2018-12-03 08:37:19.513000,280
bminixhofer/a-validation-framework-impact-of-the-random-seed,A validation framework & impact of the random seed,Benjamin Minixhofer,2019-03-16 10:35:17.073000,276
shujian/blend-of-lstm-and-cnn-with-4-embeddings-1200d,Blend of LSTM and CNN with 4 embeddings (1200d),Shujian Liu,2018-11-11 04:10:22.467000,256
sunnymarkliu/more-text-cleaning-to-increase-word-coverage,More Text Cleaning To Increase Word Coverage,Qing Liu,2019-01-28 11:13:50.757000,246
shujian/fork-of-mix-of-nn-models,Fork of Mix of NN models,Shujian Liu,2018-11-19 04:00:42.057000,242
suicaokhoailang/lstm-attention-baseline-0-672-lb,LSTM + Attention Baseline [0.672 LB],Khoi Nguyen,2018-11-18 05:51:03.643000,240
