ref,title,author,lastRunTime,totalVotes,competition,domain,dataDependency,codeDependency,awareness,modularity,configurableOptions,scalability,readability,performance,duplicateCodeElimination
pmarcelino/comprehensive-data-exploration-with-python,Comprehensive data exploration with Python,"Pedro Marcelino, PhD",2022-04-30 19:20:37.243000,33088,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
serigne/stacked-regressions-top-4-on-leaderboard,Stacked Regressions : Top 4% on LeaderBoard,Serigne ,2017-12-16 11:57:12.653000,14202,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
alexisbcook/exercise-intro-to-automl,Exercise: Intro to AutoML,Alexis Cook,2023-04-21 13:39:02.977000,13769,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
gusthema/house-prices-prediction-using-tfdf,House Prices Prediction using TFDF,Gusthema,2023-04-17 09:36:22.370000,12946,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
dansbecker/handling-missing-values,Handling Missing Values,DanB,2019-02-26 02:31:25.783000,7871,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
rtatman/welcome-to-data-science-in-r-workbook,Welcome to Data Science in R: Workbook,Rachael Tatman,2018-04-30 19:07:24.123000,7801,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
ryanholbrook/feature-engineering-for-house-prices,Feature Engineering for House Prices,Ryan Holbrook,2023-09-05 22:43:07.020000,6081,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
apapiu/regularized-linear-models,Regularized Linear Models,Alexandru Papiu,2023-01-07 02:41:56.397000,5458,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
dansbecker/submitting-from-a-kernel,Submitting From A Kernel,DanB,2018-01-22 19:25:43.633000,3867,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
dansbecker/selecting-and-filtering-in-pandas,Selecting and Filtering in Pandas,DanB,2018-01-29 04:38:58.450000,3752,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
dansbecker/xgboost,XGBoost,DanB,2018-07-25 21:52:04.780000,3672,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
erikbruin/house-prices-lasso-xgboost-and-a-detailed-eda,"House prices: Lasso, XGBoost, and a detailed EDA",Erik Bruin,2018-05-10 06:33:09.887000,3545,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
dansbecker/using-categorical-data-with-one-hot-encoding,Using Categorical Data with One Hot Encoding,DanB,2018-01-22 00:36:58.630000,3456,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
agileteam/py-t1-4-expected-questions,[py] T1-4. 왜도와 첨도 구하기 (로그스케일) Expected Questions,Kim Tae Heon,2021-10-21 00:27:46.410000,3399,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
pavansanagapati/knowledge-graph-nlp-tutorial-bert-spacy-nltk,"Knowledge Graph & NLP Tutorial-(BERT,spaCy,NLTK)",Pavan Sanagapati,2020-09-08 14:40:39.107000,2804,house-prices-advanced-regression-techniques,Dados Tabulares,0,0,0,0,0,0,0,0,0
